data,hora,ip,latencia_media
2025-12-14,07:20,138.97.220.58,5.137
2025-12-14,07:20,138.97.220.62,4.631
2025-12-14,07:20,138.97.220.57,4.661
2025-12-14,07:20,138.97.220.60,5.600
2025-12-14,07:20,138.97.220.65,8.242
2025-12-14,07:20,138.97.220.66,6.295
2025-12-14,07:20,138.97.220.69,4.695
2025-12-14,07:20,138.97.220.70,4.079
2025-12-14,07:20,8.8.8.8,7.479
2025-12-14,07:20,1.1.1.1,8.900
2025-12-14,07:22,138.97.220.58,4.910
2025-12-14,07:22,138.97.220.62,5.621
2025-12-14,07:22,138.97.220.57,4.652
2025-12-14,07:22,138.97.220.60,5.051
2025-12-14,07:22,138.97.220.65,4.867
2025-12-14,07:22,138.97.220.66,4.408
2025-12-14,07:22,138.97.220.69,4.988
2025-12-14,07:22,138.97.220.70,4.054
2025-12-14,07:22,8.8.8.8,6.932
2025-12-14,07:22,1.1.1.1,8.203
2025-12-14,07:23,138.97.220.58,7.935
2025-12-14,07:23,138.97.220.62,5.650
2025-12-14,07:23,138.97.220.57,4.582
2025-12-14,07:23,138.97.220.60,4.702
2025-12-14,07:23,138.97.220.65,4.144
2025-12-14,07:23,138.97.220.66,5.471
2025-12-14,07:23,138.97.220.69,5.022
2025-12-14,07:23,138.97.220.70,4.870
2025-12-14,07:23,8.8.8.8,8.518
2025-12-14,07:23,1.1.1.1,7.615
2025-12-14,07:25,138.97.220.58,5.072
2025-12-14,07:25,138.97.220.62,4.259
2025-12-14,07:25,138.97.220.57,16.625
2025-12-14,07:25,138.97.220.60,3.953
2025-12-14,07:25,138.97.220.65,4.911
2025-12-14,07:25,138.97.220.66,6.321
2025-12-14,07:25,138.97.220.69,4.230
2025-12-14,07:25,138.97.220.70,4.881
2025-12-14,07:25,8.8.8.8,7.676
2025-12-14,07:25,1.1.1.1,6.895
2025-12-14,07:27,138.97.220.58,4.184
2025-12-14,07:27,138.97.220.62,4.957
2025-12-14,07:27,138.97.220.57,3.705
2025-12-14,07:27,138.97.220.60,3.143
2025-12-14,07:27,138.97.220.65,4.244
2025-12-14,07:27,138.97.220.66,5.605
2025-12-14,07:27,138.97.220.69,5.701
2025-12-14,07:27,138.97.220.70,4.929
2025-12-14,07:27,8.8.8.8,8.429
2025-12-14,07:27,1.1.1.1,8.635
2025-12-14,07:28,138.97.220.58,3.990
2025-12-14,07:28,138.97.220.62,8.162
2025-12-14,07:28,138.97.220.57,5.461
2025-12-14,07:28,138.97.220.60,5.640
2025-12-14,07:28,138.97.220.65,4.125
2025-12-14,07:28,138.97.220.66,5.858
2025-12-14,07:28,138.97.220.69,4.380
2025-12-14,07:28,138.97.220.70,3.562
2025-12-14,07:28,8.8.8.8,7.230
2025-12-14,07:28,1.1.1.1,6.707
2025-12-14,07:30,138.97.220.58,39.781
2025-12-14,07:30,138.97.220.62,4.584
2025-12-14,07:30,138.97.220.57,4.150
2025-12-14,07:30,138.97.220.60,5.971
2025-12-14,07:30,138.97.220.65,6.559
2025-12-14,07:30,138.97.220.66,4.398
2025-12-14,07:30,138.97.220.69,5.027
2025-12-14,07:30,138.97.220.70,4.946
2025-12-14,07:30,8.8.8.8,7.116
2025-12-14,07:30,1.1.1.1,7.988
2025-12-14,07:32,138.97.220.58,3.613
2025-12-14,07:32,138.97.220.62,6.581
2025-12-14,07:32,138.97.220.57,5.261
2025-12-14,07:32,138.97.220.60,4.792
2025-12-14,07:32,138.97.220.65,2.968
2025-12-14,07:32,138.97.220.66,8.889
2025-12-14,07:32,138.97.220.69,4.556
2025-12-14,07:32,138.97.220.70,4.839
2025-12-14,07:32,8.8.8.8,7.269
2025-12-14,07:32,1.1.1.1,7.203
2025-12-14,07:33,138.97.220.58,4.076
2025-12-14,07:33,138.97.220.62,4.922
2025-12-14,07:33,138.97.220.57,5.176
2025-12-14,07:33,138.97.220.60,4.665
2025-12-14,07:33,138.97.220.65,4.229
2025-12-14,07:33,138.97.220.66,4.865
2025-12-14,07:33,138.97.220.69,4.710
2025-12-14,07:33,138.97.220.70,4.775
2025-12-14,07:33,8.8.8.8,7.190
2025-12-14,07:33,1.1.1.1,9.734
2025-12-14,07:35,138.97.220.58,4.302
2025-12-14,07:35,138.97.220.62,4.542
2025-12-14,07:35,138.97.220.57,5.597
2025-12-14,07:35,138.97.220.60,5.954
2025-12-14,07:35,138.97.220.65,26.969
2025-12-14,07:35,138.97.220.66,8.889
2025-12-14,07:35,138.97.220.69,4.832
2025-12-14,07:35,138.97.220.70,4.949
2025-12-14,07:35,8.8.8.8,6.546
2025-12-14,07:35,1.1.1.1,7.520
2025-12-14,07:37,138.97.220.58,5.267
2025-12-14,07:37,138.97.220.62,4.145
2025-12-14,07:37,138.97.220.57,3.582
2025-12-14,07:37,138.97.220.60,4.459
2025-12-14,07:37,138.97.220.65,3.539
2025-12-14,07:37,138.97.220.66,4.659
2025-12-14,07:37,138.97.220.69,4.771
2025-12-14,07:37,138.97.220.70,5.443
2025-12-14,07:37,8.8.8.8,6.368
2025-12-14,07:37,1.1.1.1,6.369
2025-12-14,07:38,138.97.220.58,5.626
2025-12-14,07:38,138.97.220.62,4.178
2025-12-14,07:38,138.97.220.57,3.822
2025-12-14,07:38,138.97.220.60,3.962
2025-12-14,07:38,138.97.220.65,4.564
2025-12-14,07:38,138.97.220.66,5.041
2025-12-14,07:38,138.97.220.69,4.733
2025-12-14,07:38,138.97.220.70,4.809
2025-12-14,07:38,8.8.8.8,7.242
2025-12-14,07:38,1.1.1.1,8.241
2025-12-14,07:40,138.97.220.58,9.896
2025-12-14,07:40,138.97.220.62,3.917
2025-12-14,07:40,138.97.220.57,6.099
2025-12-14,07:40,138.97.220.60,9.992
2025-12-14,07:40,138.97.220.65,4.375
2025-12-14,07:40,138.97.220.66,4.329
2025-12-14,07:40,138.97.220.69,4.404
2025-12-14,07:40,138.97.220.70,4.906
2025-12-14,07:40,8.8.8.8,7.104
2025-12-14,07:40,1.1.1.1,7.826
2025-12-14,07:42,138.97.220.58,4.878
2025-12-14,07:42,138.97.220.62,10.155
2025-12-14,07:42,138.97.220.57,4.797
2025-12-14,07:42,138.97.220.60,4.808
2025-12-14,07:42,138.97.220.65,4.106
2025-12-14,07:42,138.97.220.66,4.961
2025-12-14,07:42,138.97.220.69,5.129
2025-12-14,07:42,138.97.220.70,4.893
2025-12-14,07:42,8.8.8.8,7.113
2025-12-14,07:42,1.1.1.1,7.410
2025-12-14,07:43,138.97.220.58,12.695
2025-12-14,07:43,138.97.220.62,4.108
2025-12-14,07:43,138.97.220.57,9.441
2025-12-14,07:43,138.97.220.60,4.179
2025-12-14,07:43,138.97.220.65,4.186
2025-12-14,07:43,138.97.220.66,5.317
2025-12-14,07:43,138.97.220.69,4.312
2025-12-14,07:43,138.97.220.70,6.714
2025-12-14,07:43,8.8.8.8,16.608
2025-12-14,07:43,1.1.1.1,11.312
2025-12-14,07:45,138.97.220.58,5.042
2025-12-14,07:45,138.97.220.62,4.225
2025-12-14,07:45,138.97.220.57,5.803
2025-12-14,07:45,138.97.220.60,4.685
2025-12-14,07:45,138.97.220.65,4.438
2025-12-14,07:45,138.97.220.66,6.602
2025-12-14,07:45,138.97.220.69,6.329
2025-12-14,07:45,138.97.220.70,5.308
2025-12-14,07:45,8.8.8.8,8.668
2025-12-14,07:45,1.1.1.1,7.763
2025-12-14,07:47,138.97.220.58,4.965
2025-12-14,07:47,138.97.220.62,4.701
2025-12-14,07:47,138.97.220.57,4.402
2025-12-14,07:47,138.97.220.60,3.993
2025-12-14,07:47,138.97.220.65,4.355
2025-12-14,07:47,138.97.220.66,4.834
2025-12-14,07:47,138.97.220.69,4.442
2025-12-14,07:47,138.97.220.70,8.947
2025-12-14,07:47,8.8.8.8,9.455
2025-12-14,07:47,1.1.1.1,11.839
2025-12-14,07:48,138.97.220.58,4.222
2025-12-14,07:48,138.97.220.62,7.385
2025-12-14,07:48,138.97.220.57,4.684
2025-12-14,07:48,138.97.220.60,6.188
2025-12-14,07:48,138.97.220.65,4.738
2025-12-14,07:48,138.97.220.66,4.605
2025-12-14,07:48,138.97.220.69,11.223
2025-12-14,07:48,138.97.220.70,9.738
2025-12-14,07:48,8.8.8.8,6.691
2025-12-14,07:48,1.1.1.1,7.801
2025-12-14,07:50,138.97.220.58,5.044
2025-12-14,07:50,138.97.220.62,4.204
2025-12-14,07:50,138.97.220.57,4.184
2025-12-14,07:50,138.97.220.60,5.072
2025-12-14,07:50,138.97.220.65,4.281
2025-12-14,07:50,138.97.220.66,6.204
2025-12-14,07:50,138.97.220.69,4.522
2025-12-14,07:50,138.97.220.70,4.009
2025-12-14,07:50,8.8.8.8,7.313
2025-12-14,07:50,1.1.1.1,11.306
2025-12-14,07:52,138.97.220.58,5.393
2025-12-14,07:52,138.97.220.62,4.699
2025-12-14,07:52,138.97.220.57,5.053
2025-12-14,07:52,138.97.220.60,5.288
2025-12-14,07:52,138.97.220.65,3.983
2025-12-14,07:52,138.97.220.66,5.273
2025-12-14,07:52,138.97.220.69,5.779
2025-12-14,07:52,138.97.220.70,7.524
2025-12-14,07:52,8.8.8.8,6.993
2025-12-14,07:52,1.1.1.1,10.247
2025-12-14,07:53,138.97.220.58,4.308
2025-12-14,07:53,138.97.220.62,3.877
2025-12-14,07:53,138.97.220.57,3.046
2025-12-14,07:53,138.97.220.60,4.302
2025-12-14,07:53,138.97.220.65,4.647
